CVE_MUN,NOM_MUN
471,Santiago Lalopa
479,Santiago Nejapilla
480,Santiago Nundiche
486,Villa Tejupam de la Union
361,Santa Catalina Quieri
366,Santa Catarina Loxicha
394,Santa Maria Alotepec
336,San Pedro Yolox
406,Santa Maria Chilchotla
407,Santa Maria Chimalapa
410,Santa Maria Ecatepec
412,Santa Maria Guienagati
417,Santa Maria Jacatepec
424,Santa Maria Ozolotepec
428,Santa Maria Quiegolani
435,Santa Maria Tepantlali
493,Santiago Tillo
497,Santiago Yaitepec
499,Santiago Yolomecatl
510,Santo Domingo Ixcatlan
520,Santo Domingo Tonala
521,Santo Domingo Tonaltepec
523,Santo Domingo Yanhuitlan
527,Santos Reyes Papalo
528,Santos Reyes Tepejillo
529,Santos Reyes Yucuna
330,San Pedro Teutila
335,San Pedro Yaneri
437,Santa Maria Tlahuitoltepec
439,Santa Maria Tonameca
466,Santiago Ixtayutla
467,Santiago Jamiltepec
469,Santiago Juxtlahuaca
237,San Marcos Arteaga
050,Magdalena Peñasco
004,Asuncion Cuyotepeji
011,Calihuala
024,Cuyamecalco Villa de Zaragoza
034,Guadalupe de Ramirez
047,Santa Magdalena Jicotlan
056,Martires de Tacubaya
070,Pinotepa de Don Luis
076,La Reforma
081,San Agustin Atenango
082,San Agustin Chayuco
344,San Sebastian Coatlan
351,San Simon Almolongas
124,San Blas Atempa
357,Santa Ana Tavela
086,San Agustin Tlacotepec
089,San Andres Dinicuiti
090,San Andres Huaxpaltepec
201,San Juan Juquila Vijanos
079,Salina Cruz
099,San Andres Tepetlapa
060,Mixistlan de la Reforma
066,Santiago Niltepec
074,Santa Catarina Quioquitani
085,San Agustin Loxicha
097,San Andres Solaga
098,San Andres Teotilalpam
122,San Bartolo Yautepec
125,San Carlos Yautepec
126,San Cristobal Amatlan
130,San Dionisio del Mar
134,San Felipe Jalapa de Diaz
136,San Felipe Usila
159,San Jeronimo Coatlan
166,San Jose Chiltepec
169,San Jose Independencia
170,San Jose Lachiguiri
171,San Jose Tenango
173,San Juan Atepec
175,San Juan Bautista Atatlahuca
184,San Juan Bautista Tuxtepec
189,San Juan Comaltepec
190,San Juan Cotzocon
440,Santa Maria Totolapilla
441,Santa Maria Xadani
457,Santiago Camotlan
458,Santiago Comaltepec
196,San Juan Evangelista Analco
200,San Juan Juquila Mixes
207,San Juan Mazatlan
212,San Juan Petlapa
214,San Juan Quiotepec
220,San Juan Tepeuxila
226,San Lorenzo Albarradas
232,San Lucas Ojitlan
235,San Luis Amatlan
236,San Marcial Ozolotepec
246,San Mateo Cajonos
253,San Mateo Piñas
100,San Andres Yaa
114,San Baltazar Yatzachi el Bajo
116,San Bartolome Ayautla
117,San Bartolome Loxicha
120,San Bartolome Zoogocho
131,San Dionisio Ocotepec
146,San Francisco Logueche
179,San Juan Bautista Jayacatlan
182,San Juan Bautista Tlacoatzintepec
187,San Juan Coatzospam
307,San Pedro Huamelula
316,San Pedro Martir Quiechapa
323,San Pedro Ocotepec
333,San Pedro Totolapam
139,San Francisco Chapulapa
203,San Juan Lachigalla
204,San Juan Lajarcia
216,San Juan Tabaa
222,San Juan Yaee
223,San Juan Yatzona
231,San Lucas Camotlan
248,San Mateo del Mar
234,San Lucas Zoquiapam
240,San Martin Itunyoso
244,San Martin Toxpalan
252,San Mateo Peñasco
261,San Miguel Amatitlan
509,Santo Domingo de Morelos
260,San Miguel Aloapam
263,San Miguel Coatlan
268,San Miguel Ejutla
296,San Pablo Macuiltianguis
298,San Pablo Villa de Mitla
306,San Pedro el Alto
309,San Pedro Ixcatlan
324,San Pedro Pochutla
326,San Pedro Sochiapam
276,San Miguel Santa Flor
498,Santiago Yaveo
282,San Miguel Tenango
288,San Miguel Yotao
289,San Nicolas
299,San Pablo Yaganiza
422,Santa Maria Nativitas
431,Santa Maria Tecomavaca
383,Santa Cruz Tayata
416,Santa Maria Ixcatlan
014,Ciudad Ixtepec
308,San Pedro Huilotepec
434,Santa Maria Teopoxco
446,Santa Maria Yucuhiti
447,Santa Maria Zacatepec
450,Santiago Amoltepec
459,Santiago Chazumba
461,Santiago del Rio
106,San Antonio Acutla
213,San Juan Quiahije
229,San Lorenzo Texmelucan
264,San Miguel Chicahua
272,San Miguel Panixtlahuaca
353,Santa Ana
355,Santa Ana Cuauhtemoc
359,Santa Ana Yareni
362,Santa Catarina Cuixtla
391,Santa Lucia Miahuatlan
396,Santa Maria la Asuncion
408,Santa Maria del Rosario
418,Santa Maria Jalapa del Marques
224,San Juan Yucuita
027,Chiquihuitlan de Benito Juarez
030,El Espinal
421,Santa Maria Mixtequilla
425,Santa Maria Papalo
432,Santa Maria Temaxcalapa
438,Santa Maria Tlalixtac
442,Santa Maria Yalina
454,Santiago Atitlan
465,Santiago Ixcuintepec
512,Santo Domingo Ozolotepec
513,Santo Domingo Petapa
517,Santo Domingo Tepuxtepec
525,Santo Domingo Zanatepec
534,San Vicente Coatlan
554,Totontepec Villa de Morelos
559,San Juan Bautista Valle Nacional
472,Santiago Laollaga
377,Santa Cruz Itundujia
386,Santa Cruz Zenzontepec
392,Santa Lucia Monteverde
395,Santa Maria Apazco
397,Heroica Ciudad de Tlaxiaco
402,Santa Maria Cortijo
404,Santa Maria Chachoapam
405,Villa de Chilapa de Diaz
414,Santa Maria Huazolotitlan
415,Santa Maria Ipalapa
423,Santa Maria Nduayaco
429,Santa Maria Sola
274,San Miguel Piedras
502,Santiago Zacatepec
503,Santiago Zoochila
505,Santo Domingo Ingenio
506,Santo Domingo Albarradas
508,Santo Domingo Chihuitan
514,Santo Domingo Roayaga
522,Santo Domingo Xagacia
533,Santo Tomas Tamazulapan
538,Sitio de Xitlapehua
541,Tanetze de Zaragoza
225,San Lorenzo
228,San Lorenzo Cuaunecuiltitla
119,San Bartolome Yucuañe
127,San Cristobal Amoltepec
400,Santa Maria Camotlan
563,Yogana
372,Santa Catarina Yosonotu
373,Santa Catarina Zapoquila
